Hour,Timestamp,Actual_Load
1,2026-06-14 05:30:00,21.82
2,2026-06-14 06:30:00,26.18
3,2026-06-14 07:30:00,24.61
4,2026-06-14 08:30:00,32.18
5,2026-06-14 09:30:00,39.65
6,2026-06-14 10:30:00,39.69
7,2026-06-14 11:30:00,57.42
8,2026-06-14 12:30:00,57.18
9,2026-06-14 13:30:00,61.3
10,2026-06-14 14:30:00,88.72
11,2026-06-14 15:30:00,94.83
12,2026-06-14 16:30:00,94.87
13,2026-06-14 17:30:00,82.7
14,2026-06-14 18:30:00,76.18
15,2026-06-14 19:30:00,88.83
16,2026-06-14 20:30:00,75.83
17,2026-06-14 21:30:00,61.01
18,2026-06-14 22:30:00,61.54
19,2026-06-14 23:30:00,45.72
20,2026-06-15 00:30:00,52.24
21,2026-06-15 01:30:00,35.22
22,2026-06-15 02:30:00,32.55
23,2026-06-15 03:30:00,23.77
24,2026-06-15 04:30:00,22.48
